,Review,Label,Review_Clean,absa,polarity
175,"Delectable Nasi Lemak and the variety of dishes. The fried chicken (see photo) has to be the crowd's favourite. If you're there with a group of friend, I'd suggest you go for an ala carte meal so you can order more dishes for sharing! …",POSITIVE,"delectable nasi lemak and the variety of dishes. the fried chicken (see photo) has to be the crowd's favourite. if you are there with a group of friend, i would suggest you go for an ala carte meal so you can order more dishes for sharing!  ","[['lemak', ['delectable', 'nasi']], ['variety', []], ['chicken', ['fried', 'has']], ['photo', ['see']], ['crowd', []], ['favourite', ['has']], ['group', []], ['friend', []], ['cartemeal', ['ala']], ['order', ['you', 'dishes']]]","[['lemak', 'POSITIVE'], ['chicken', 'NEGATIVE'], ['photo', 'POSITIVE'], ['favourite', 'NEGATIVE'], ['cartemeal', 'NEUTRAL'], ['order', 'POSITIVE']]"
176,"Good value lunch, restaurant with nice ambience. Quiet and quaint.",POSITIVE,"good value lunch, restaurant with nice ambience. quiet and quaint.","[['valuelunch', ['good']], ['ambience', ['nice']], ['quaint', []]]","[['valuelunch', 'POSITIVE'], ['ambience', 'POSITIVE']]"
177,Nice.,POSITIVE,nice.,"[['nice', []]]",[]
178,Good food and great service,POSITIVE,good food and great service,"[['food', ['good']], ['service', ['great']]]","[['food', 'POSITIVE'], ['service', 'POSITIVE']]"
179,"Enjoyed our meal at blossom with fantastic service rendered by captain Carol Lee, Yoke Lin and Ah Hong.",POSITIVE,"enjoyed our meal at blossom with fantastic service rendered by captain carol lee, yoke lin and ah hong.","[['meal', ['enjoyed']], ['blossom', []], ['service', ['fantastic']], ['captaincarol', ['carollee']], ['carollee', ['captaincarol']]]","[['meal', 'POSITIVE'], ['service', 'POSITIVE'], ['captaincarol', 'NEUTRAL'], ['carollee', 'NEUTRAL']]"
180,Must visit for cheese fondue!,POSITIVE,must visit for cheese fondue!,[],[]
181,"Hands down, HANDS DOWN THE BEST PLACE WITH THE BEST PEOPLE.

Other than the food being great and service being excellent, the team is just …",POSITIVE,"hands down, hands down the best place with the best people.

other than the food being great and service being excellent, the team is just  ","[['place', ['best', 'hands']], ['food', []], ['service', ['excellent']], ['excellent', ['service']], ['team', ['just']]]","[['place', 'POSITIVE'], ['service', 'POSITIVE'], ['excellent', 'NEGATIVE'], ['team', 'POSITIVE']]"
182,"We love it here! The skirt steak, ribs, carbonara pizza, cod and sangria are fantastic. This has become a weekly visit for us. The staff is awesome! Definitely a must visit!!",POSITIVE,"we love it here! the skirt steak, ribs, carbonara pizza, cod and sangria are fantastic. this has become a weekly visit for us. the staff is awesome! definitely a must visit!!",[],[]
183,"One of the best hot fun in Singapore. Easily the top 3. Also, a place to go for fresh wild-caught prawns. The prawn soup bee hoon was also full of flavour. The taste tends to be on the stronger side of things and both dishes are slightly spicy.",POSITIVE,"one of the best hot fun in singapore. easily the top 3. also, a place to go for fresh wild-caught prawns. the prawn soup bee hoon was also full of flavour. the taste tends to be on the stronger side of things and both dishes are slightly spicy.",[],[]
184,"Indulging in the revamped menu at Waterfall Ristorante Italiano is like embarking on a culinary journey through Puglia, Italy, courtesy of Chef De Cuisine Simone Loisi. …",POSITIVE,"indulging in the revamped menu at waterfall ristorante italiano is like embarking on a culinary journey through puglia, italy, courtesy of chef de cuisine simone loisi.  ","[['ristoranteitaliano', ['waterfall']], ['journey', ['culinary']], ['puglia', []], ['italy', []], ['courtesy', []], ['chef', []], ['cuisinesimone', []], ['simoneloisi', []]]","[['ristoranteitaliano', 'NEUTRAL'], ['journey', 'NEUTRAL']]"
185,"The restaurant located in a historical building, quite cool. The food is good and a good place for formal gathering even business dinner. …",POSITIVE,"the restaurant located in a historical building, quite cool. the food is good and a good place for formal gathering even business dinner.  ","[['restaurant', ['cool']], ['building', ['historical']], ['food', ['good']], ['place', ['good']], ['gathering', ['formal']]]","[['restaurant', 'POSITIVE'], ['building', 'NEUTRAL'], ['food', 'POSITIVE'], ['place', 'POSITIVE'], ['gathering', 'POSITIVE']]"
186,Two Michelin stars - nothing else said. Head Chef Nishida-san was brilliantly part of the experience &amp; humorous. One of the best omakase.,POSITIVE,two michelin stars - nothing else said. head chef nishida-san was brilliantly part of the experience &amp; humorous. one of the best omakase.,[],[]
187,Super delicious. I went a few years ago when in town and it was just as amazing this time around. One of the best restaurant experiences in the word.,POSITIVE,super delicious. i went a few years ago when in town and it was just as amazing this time around. one of the best restaurant experiences in the word.,"[['town', ['when']], ['time', []], ['restaurant', ['experiences']], ['word', []]]","[['town', 'NEUTRAL'], ['restaurant', 'NEGATIVE']]"
188,The most affordable French in Singapore.,POSITIVE,the most affordable french in singapore.,"[['singapore', []]]",[]
189,"Amazing experience and very friendly and welcoming staff. Needless to say the food was out of this world. We were regulars at Andre's before Zen moved in and were a little doubtful, as we were huge fans of Andres. But Zen far far exceeded out expectations and we will definitely be back! Congratulations to the team at Zen!",POSITIVE,"amazing experience and very friendly and welcoming staff. needless to say the food was out of this world. we were regulars at andre's before zen moved in and were a little doubtful, as we were huge fans of andres. but zen far far exceeded out expectations and we will definitely be back! congratulations to the team at zen!","[['experience', ['amazing']], ['staff', ['friendly']], ['food', ['world']], ['world', ['food']], ['zen', ['exceeded']], ['zen', []]]","[['experience', 'POSITIVE'], ['staff', 'POSITIVE'], ['food', 'NEGATIVE'], ['world', 'NEGATIVE'], ['zen', 'NEGATIVE']]"
190,"Great evening, food is amazing! Thanks Rajiv for the memorable experience",POSITIVE,"great evening, food is amazing! thanks rajiv for the memorable experience","[['evening', ['great']], ['food', ['amazing']], ['amazing', ['food']], ['experience', ['memorable']]]","[['evening', 'POSITIVE'], ['food', 'POSITIVE'], ['amazing', 'NEGATIVE'], ['experience', 'POSITIVE']]"
191,Finally I tried this place. Every course was mind blowing. Me and my wife enjoyed our lunch over here. The lunch menu was really worth it. …,POSITIVE,finally i tried this place. every course was mind blowing. me and my wife enjoyed our lunch over here. the lunch menu was really worth it.  ,"[['place', ['tried']], ['course', ['blowing']], ['mind', ['blowing']], ['blowing', ['course', 'mind']], ['wife', []], ['lunch', ['enjoyed']], ['lunchmenu', ['worth']]]","[['place', 'POSITIVE'], ['course', 'NEGATIVE'], ['mind', 'NEGATIVE'], ['blowing', 'POSITIVE'], ['lunch', 'POSITIVE'], ['lunchmenu', 'POSITIVE']]"
192,excellent service from amy mac,POSITIVE,excellent service from amy mac,"[['service', ['excellent']]]","[['service', 'POSITIVE']]"
193,"Great service, food and atmosphere. Baklava is a must try!",POSITIVE,"great service, food and atmosphere. baklava is a must try!","[['service', ['great']], ['food', []], ['baklava', ['try']]]","[['service', 'POSITIVE'], ['baklava', 'POSITIVE']]"
194,Great skill and talent on display to reinterpret Indian food to such a high standard. Every dish has a vegetarian alternative. Burratta and Octopus in the small plates were exceptional. Service and restaurant interiors (award winning) stand …,POSITIVE,great skill and talent on display to reinterpret indian food to such a high standard. every dish has a vegetarian alternative. burratta and octopus in the small plates were exceptional. service and restaurant interiors (award winning) stand  ,"[['talent', []], ['display', []], ['reinterpret', ['food']], ['food', ['indian', 'reinterpret']], ['standard', ['high']], ['alternative', ['vegetarian', 'has']], ['burratta', ['exceptional']], ['service', ['stand']], ['restaurant', ['interiors']], ['stand', ['service']]]","[['reinterpret', 'NEGATIVE'], ['food', 'NEUTRAL'], ['standard', 'POSITIVE'], ['alternative', 'NEGATIVE'], ['burratta', 'NEUTRAL'], ['service', 'NEGATIVE'], ['restaurant', 'NEUTRAL'], ['stand', 'NEGATIVE']]"
195,Awesome place to chill with friends! All the staff very friendly specially rana🤩 …,POSITIVE,awesome place to chill with friends! all the staff very friendly specially rana  ,"[['place', ['awesome']], ['chill', []], ['staff', ['friendly']]]","[['place', 'POSITIVE'], ['staff', 'POSITIVE']]"
196,Always been our favorite beef,POSITIVE,always been our favorite beef,"[['beef', ['always', 'favorite']]]","[['beef', 'POSITIVE']]"
197,Great dinner,POSITIVE,great dinner,"[['dinner', ['great']]]","[['dinner', 'POSITIVE']]"
198,Took then 8 course. The food is simply amazing. Modern French Japanese. Beautifully crafted and very delicious. It's definitely worth the visit. …,POSITIVE,took then 8 course. the food is simply amazing. modern french japanese. beautifully crafted and very delicious. it is definitely worth the visit.  ,"[['course', ['took']], ['food', ['amazing']], ['japanese', ['modern', 'french']], ['visit', ['worth']]]","[['course', 'POSITIVE'], ['food', 'POSITIVE'], ['japanese', 'POSITIVE'], ['visit', 'POSITIVE']]"
199,Shared a delightful meal at Esquina. Everything from the appetizers to the dessert was great! Thank you to the team for the great experience. I would proactively recommend Esquina!,POSITIVE,shared a delightful meal at esquina. everything from the appetizers to the dessert was great! thank you to the team for the great experience. i would proactively recommend esquina!,"[['esquina', []], ['everything', ['great']], ['thank', ['you']], ['team', []], ['experience', ['great']], ['esquina', ['recommend']]]","[['everything', 'POSITIVE'], ['thank', 'NEUTRAL'], ['experience', 'POSITIVE'], ['esquina', 'POSITIVE']]"
200,"ARE YOU HUNGRY???

LETS GO TO MAKAN …",POSITIVE,"are you hungry???

lets go to makan  ","[['hungry', ['you']]]","[['hungry', 'NEUTRAL']]"
201,Amazing ambience and the food was good too! Must get their ox tongue and their meats!! Highly recommend trying their cheesecake too.,POSITIVE,amazing ambience and the food was good too! must get their ox tongue and their meats!! highly recommend trying their cheesecake too.,"[['ambience', ['amazing']], ['food', ['good']], ['good', ['food', 'too']], ['cheesecake', ['trying']]]","[['ambience', 'POSITIVE'], ['food', 'POSITIVE'], ['good', 'NEGATIVE'], ['cheesecake', 'NEGATIVE']]"
202,Been a while since I found myself reeling in delight  and excited over dinner. Restaurant Ibid's duck dish was amazing with smart use of dangui and  duck was from Malaysia. Shows that you don't always need lux ingredients but enough respect …,POSITIVE,been a while since i found myself reeling in delight  and excited over dinner. restaurant ibid's duck dish was amazing with smart use of dangui and  duck was from malaysia. shows that you do not always need lux ingredients but enough respect  ,"[['delight', []], ['dinner', []], ['restaurantibid', []], ['duck', ['dish', 'malaysia']], ['smart', ['use']], ['use', ['smart', 'malaysia']], ['duck', ['dish', 'malaysia']], ['malaysia', ['use', 'duck']], ['respect', ['enough']]]","[['duck', 'POSITIVE'], ['smart', 'POSITIVE'], ['use', 'POSITIVE'], ['duck', 'POSITIVE'], ['malaysia', 'POSITIVE'], ['respect', 'POSITIVE']]"
203,Lovely food and great service,POSITIVE,lovely food and great service,"[['food', ['lovely']], ['service', ['great']]]","[['food', 'POSITIVE'], ['service', 'POSITIVE']]"
204,First time visiting this restaurant for a Saturday dinner with friends. The table host was friendly and recommended a few dishes to our liking. But the cocktail felt diluted. Overall still a visit.,POSITIVE,first time visiting this restaurant for a saturday dinner with friends. the table host was friendly and recommended a few dishes to our liking. but the cocktail felt diluted. overall still a visit.,"[['time', ['first']], ['restaurant', ['visiting']], ['saturday', ['dinner']], ['dinner', ['saturday']], ['tablehost', ['friendly']], ['cocktail', ['felt']], ['visit', ['overall', 'still']]]","[['time', 'POSITIVE'], ['restaurant', 'NEGATIVE'], ['saturday', 'NEUTRAL'], ['dinner', 'NEUTRAL'], ['tablehost', 'POSITIVE'], ['cocktail', 'POSITIVE'], ['visit', 'NEGATIVE']]"
205,"Thanks, Jesh for being an awesome host! 🥰 …",POSITIVE,"thanks, jesh for being an awesome host!   ","[['host', ['awesome']]]","[['host', 'POSITIVE']]"
206,"We had a great evening at Luka.  Good wine good food and good service. Jacob was the one who served us, very attentive, polite and friendly. Love the Omakase Platter, the Hyogo oyster pair with Ikura is perfect.  Beef is tender and juicy, the pizza and pasta is flavourful. Will definitely come back again",POSITIVE,"we had a great evening at luka.  good wine good food and good service. jacob was the one who served us, very attentive, polite and friendly. love the omakase platter, the hyogo oyster pair with ikura is perfect.  beef is tender and juicy, the pizza and pasta is flavourful. will definitely come back again","[['luka', []], ['wine', ['good']], ['food', ['good']], ['service', ['good']], ['jacob', ['one']], ['love', ['omakaseplatter']], ['omakaseplatter', ['love']], ['hyogooyster', ['oysterpair']], ['oysterpair', ['hyogooyster', 'perfect']], ['ikura', []], ['perfect', ['oysterpair']], ['beef', ['tender']], ['tender', ['beef']], ['juicy', []], ['pizza', ['flavourful']], ['pasta', []], ['flavourful', ['pizza']]]","[['wine', 'POSITIVE'], ['food', 'POSITIVE'], ['service', 'POSITIVE'], ['jacob', 'POSITIVE'], ['love', 'NEUTRAL'], ['omakaseplatter', 'POSITIVE'], ['hyogooyster', 'NEUTRAL'], ['oysterpair', 'POSITIVE'], ['perfect', 'NEUTRAL'], ['beef', 'NEGATIVE'], ['tender', 'NEGATIVE'], ['pizza', 'NEGATIVE'], ['flavourful', 'NEUTRAL']]"
207,Good Vege food but standard as dropped probably due to covid,POSITIVE,good vege food but standard as dropped probably due to covid,"[['vegefood', ['good']], ['standard', []], ['covid', []]]","[['vegefood', 'POSITIVE']]"
208,"I recommend the everything. I’ve never had Swiss food before, but now it’s probably one of my favourite European countries. The main courses are surprisingly good value for money given the atas location and the really big words on the menu. …",POSITIVE,"i recommend the everything. i ve never had swiss food before, but now it s probably one of my favourite european countries. the main courses are surprisingly good value for money given the atas location and the really big words on the menu.  ","[['recommend', ['i', 'everything']], ['everything', ['recommend']], ['food', ['swiss']], ['value', ['courses', 'good']], ['money', []], ['location', ['atas', 'given']], ['menu', []]]","[['recommend', 'NEGATIVE'], ['everything', 'POSITIVE'], ['food', 'NEUTRAL'], ['value', 'POSITIVE'], ['location', 'POSITIVE']]"
209,"One of the best and authentic Peranakan food I’ve ever tried!!!

Food we ordered: …",POSITIVE,"one of the best and authentic peranakan food i ve ever tried!!!

food we ordered:  ","[['peranakanfood', ['best']], ['foodi', []], ['food', ['ordered']]]","[['peranakanfood', 'POSITIVE'], ['food', 'POSITIVE']]"
210,"Been here invited by a local friend and his family. Very nice renewed place, very good chinese food. Friend told me that they just had a Michelin guide star. It was really busy. …",POSITIVE,"been here invited by a local friend and his family. very nice renewed place, very good chinese food. friend told me that they just had a michelin guide star. it was really busy.  ","[['friend', ['local']], ['family', []], ['place', ['nice', 'renewed']], ['food', ['good', 'chinese']], ['friend', ['told']], ['guidestar', ['michelinguide', 'had']]]","[['friend', 'NEUTRAL'], ['place', 'POSITIVE'], ['food', 'POSITIVE'], ['friend', 'POSITIVE'], ['guidestar', 'NEGATIVE']]"
211,"Simple, good quality south indian food with no frills and genuine service",POSITIVE,"simple, good quality south indian food with no frills and genuine service","[['simple', ['food']], ['qualitysouth', ['food']], ['food', ['simple', 'good', 'qualitysouth', 'indian']], ['service', ['genuine']]]","[['simple', 'NEGATIVE'], ['qualitysouth', 'NEGATIVE'], ['food', 'POSITIVE'], ['service', 'POSITIVE']]"
212,Great food and good service!,POSITIVE,great food and good service!,"[['food', ['great']], ['service', ['good']]]","[['food', 'POSITIVE'], ['service', 'POSITIVE']]"
213,We had an amazing lunch at Jaan.  Excellent artistic presentation of an incredible array of food. Each dish had a special touch that made this restaurant one of the best in Singapore.  Service was equally amazing.  This should a Michelin 3 star.,POSITIVE,we had an amazing lunch at jaan.  excellent artistic presentation of an incredible array of food. each dish had a special touch that made this restaurant one of the best in singapore.  service was equally amazing.  this should a michelin 3 star.,"[['lunch', ['amazing', 'had']], ['jaan', []], ['presentation', ['excellent', 'artistic']], ['array', ['incredible']], ['food', []], ['touch', ['special', 'had', 'made']], ['singapore', []], ['service', ['amazing']], ['michelin', ['star']], ['star', ['this', 'michelin']]]","[['lunch', 'POSITIVE'], ['presentation', 'POSITIVE'], ['array', 'NEUTRAL'], ['touch', 'POSITIVE'], ['service', 'POSITIVE'], ['michelin', 'POSITIVE'], ['star', 'NEUTRAL']]"
214,delicious,POSITIVE,delicious,[],[]
215,"Excellent service, excellent food!  Expensive but what did you expect.  Roger is an excellent server.  An excellent introductory culinary experience to higher end food scene in Singapore.",POSITIVE,"excellent service, excellent food!  expensive but what did you expect.  roger is an excellent server.  an excellent introductory culinary experience to higher end food scene in singapore.","[['service', ['excellent']], ['food', ['excellent']], ['expect', ['what', 'you']], ['roger', ['server']], ['server', ['roger', 'excellent']], ['experience', ['excellent', 'introductory', 'culinary']], ['end', ['higher', 'foodscene']], ['foodscene', ['end']], ['singapore', []]]","[['service', 'POSITIVE'], ['food', 'POSITIVE'], ['expect', 'NEUTRAL'], ['roger', 'NEUTRAL'], ['server', 'POSITIVE'], ['experience', 'POSITIVE'], ['end', 'POSITIVE'], ['foodscene', 'NEUTRAL']]"
216,"Authentic Japanese restaurant .
Pricing can be high, but overall matches the quality of food",POSITIVE,"authentic japanese restaurant .
pricing can be high, but overall matches the quality of food","[['restaurant', ['authentic', 'japanese']], ['pricing', ['high']], ['quality', ['matches']], ['food', []]]","[['restaurant', 'POSITIVE'], ['pricing', 'POSITIVE'], ['quality', 'POSITIVE']]"
217,Fully edible bonsai molten chocolate cake. What else can you ask for:),POSITIVE,fully edible bonsai molten chocolate cake. what else can you ask for:),"[['moltenchocolate', ['chocolatecake']], ['chocolatecake', ['moltenchocolate']], ['ask', ['you']]]","[['moltenchocolate', 'NEUTRAL'], ['chocolatecake', 'NEUTRAL'], ['ask', 'NEUTRAL']]"
218,Rosti done right,POSITIVE,rosti done right,"[['rosti', []], ['right', ['done']]]","[['right', 'NEGATIVE']]"
219,"We had a lovely dinner at candlenut whilst on our honeymoon. The food was beautiful, especially the beef rendang curry. Our server Leslie was amazing. Extremely friendly and knowledgeable of the menu - great service! We also received a …",POSITIVE,"we had a lovely dinner at candlenut whilst on our honeymoon. the food was beautiful, especially the beef rendang curry. our server leslie was amazing. extremely friendly and knowledgeable of the menu - great service! we also received a  ","[['dinner', ['lovely', 'had']], ['honeymoon', []], ['food', ['beautiful']], ['beautiful', ['food']], ['rendangcurry', ['especially', 'beefrendang']], ['serverleslie', ['amazing']], ['amazing', ['serverleslie']], ['menu', []], ['service', ['great']]]","[['dinner', 'POSITIVE'], ['food', 'POSITIVE'], ['beautiful', 'NEGATIVE'], ['rendangcurry', 'NEUTRAL'], ['serverleslie', 'POSITIVE'], ['amazing', 'NEUTRAL'], ['service', 'POSITIVE']]"
220,One of the best lamb Reserve De La Comtesse 👍 …,POSITIVE,one of the best lamb reserve de la comtesse   ,"[['lamb', ['reserve']], ['reserve', ['best', 'lamb']], ['comtesse', []]]","[['lamb', 'POSITIVE'], ['reserve', 'POSITIVE']]"
221,"A very pleasurable experience. The food is excellent, service is exceptional. service staff, Maggie and anson, made the dining experience a very memorable one. Will definitely come back.",POSITIVE,"a very pleasurable experience. the food is excellent, service is exceptional. service staff, maggie and anson, made the dining experience a very memorable one. will definitely come back.","[['experience', ['pleasurable']], ['food', ['excellent']], ['excellent', ['food']], ['service', ['exceptional']], ['exceptional', ['service']], ['servicestaff', ['made']], ['anson', []], ['diningexperience', ['made']]]","[['experience', 'POSITIVE'], ['food', 'POSITIVE'], ['excellent', 'NEGATIVE'], ['service', 'NEUTRAL'], ['exceptional', 'NEGATIVE'], ['servicestaff', 'POSITIVE'], ['diningexperience', 'POSITIVE']]"
222,"As a huge foodie, I would definitely recommend this place, the 3 course meal I had was delicious and the pork was very tender and soft. The dishes all had great flavor and service was great.",POSITIVE,"as a huge foodie, i would definitely recommend this place, the 3 course meal i had was delicious and the pork was very tender and soft. the dishes all had great flavor and service was great.","[['foodie', ['huge']], ['place', ['recommend']], ['coursemeal', ['meali']], ['meali', ['coursemeal', 'delicious']], ['pork', ['tender']], ['tender', ['pork', 'very']], ['soft', []], ['service', []]]","[['foodie', 'NEGATIVE'], ['place', 'POSITIVE'], ['coursemeal', 'NEUTRAL'], ['meali', 'POSITIVE'], ['pork', 'NEGATIVE'], ['tender', 'POSITIVE']]"
223,Great food. Wonderful ambience. Good service. ❤ ❤ ❤,POSITIVE,great food. wonderful ambience. good service.   ,"[['food', ['great']], ['ambience', ['wonderful']], ['service', ['good']]]","[['food', 'POSITIVE'], ['ambience', 'POSITIVE'], ['service', 'POSITIVE']]"
224,"Came here after dinner at 845pm, still we enjoyed the food and service by Paul was amazing ! 赞👍 …",POSITIVE,"came here after dinner at 845pm, still we enjoyed the food and service by paul was amazing !   ","[['dinner', []], ['food', ['!']], ['service', []], ['paul', []], ['amazing', []]]","[['food', 'NEUTRAL']]"
225,"Very humble people, best taste of food and very affordable, always neat and clean.
Best south indian food (and north also!). …",POSITIVE,"very humble people, best taste of food and very affordable, always neat and clean.
best south indian food (and north also!).  ","[['taste', ['best']], ['food', []], ['clean', []], ['south', ['indian']], ['food', ['best', 'indian']], ['north', ['also']]]","[['taste', 'POSITIVE'], ['south', 'NEUTRAL'], ['food', 'POSITIVE'], ['north', 'NEUTRAL']]"
226,"Came here for lunch to celebrate my birthday! I entered the restaurant and it looked incredible. Decided on the smallest menu as it’s my first time here and I usually sus it out. All in all, I was pleasantly surprised. The lunch menu was …",POSITIVE,"came here for lunch to celebrate my birthday! i entered the restaurant and it looked incredible. decided on the smallest menu as it s my first time here and i usually sus it out. all in all, i was pleasantly surprised. the lunch menu was  ","[['celebrate', ['birthday']], ['birthday', ['celebrate']], ['restaurant', ['entered']], ['menu', ['smallest']], ['time', ['it', 'first', 'here']], ['lunchmenu', []]]","[['celebrate', 'NEUTRAL'], ['birthday', 'POSITIVE'], ['restaurant', 'NEUTRAL'], ['menu', 'NEGATIVE'], ['time', 'POSITIVE']]"
227,Excellent service from Chloe.  Very attentive and friendly.  Food was excellent!  Nice take on Peranakan food with great flavour combinations to raise this cuisine to another level. Room was beautiful and cosy.  Highly recommended!,POSITIVE,excellent service from chloe.  very attentive and friendly.  food was excellent!  nice take on peranakan food with great flavour combinations to raise this cuisine to another level. room was beautiful and cosy.  highly recommended!,"[['excellent', ['service']], ['service', ['excellent']], ['chloe', []], ['food', ['excellent']], ['excellent', ['food']], ['food', ['peranakan']], ['cuisine', ['raise']], ['level', []], ['room', ['beautiful']], ['cosy', []]]","[['excellent', 'NEGATIVE'], ['service', 'POSITIVE'], ['food', 'POSITIVE'], ['excellent', 'NEGATIVE'], ['food', 'NEUTRAL'], ['cuisine', 'POSITIVE'], ['room', 'POSITIVE']]"
228,Awesome food with superb service. Chef went all out to ensure food do not contain ingredients I'm allergic to.,POSITIVE,awesome food with superb service. chef went all out to ensure food do not contain ingredients i am allergic to.,"[['food', ['awesome']], ['superb', ['service']], ['service', ['superb']], ['chef', ['went']], ['food', ['contain']], ['contain', ['food', 'not', 'ingredients']]]","[['food', 'POSITIVE'], ['superb', 'NEGATIVE'], ['service', 'POSITIVE'], ['chef', 'POSITIVE'], ['food', 'POSITIVE'], ['contain', 'NEGATIVE']]"
229,Superb food! Nice ambiance! Great service from Maribeth! 💯 …,POSITIVE,superb food! nice ambiance! great service from maribeth!   ,"[['superbfood', []], ['ambiance', ['nice']], ['service', ['great']], ['maribeth', []]]","[['ambiance', 'POSITIVE'], ['service', 'POSITIVE']]"
230,"Great food, greater view, and the greatest service. Thanks for the perfect dining experience which made our day.",POSITIVE,"great food, greater view, and the greatest service. thanks for the perfect dining experience which made our day.","[['food', ['great']], ['view', ['greater']], ['service', ['greatest']], ['diningexperience', ['perfect', 'made']], ['day', ['made']]]","[['food', 'POSITIVE'], ['view', 'POSITIVE'], ['service', 'POSITIVE'], ['diningexperience', 'POSITIVE'], ['day', 'POSITIVE']]"
231,"Kales was very nice, he take care us very well and give us a very good time",POSITIVE,"kales was very nice, he take care us very well and give us a very good time","[['care', ['us']], ['time', ['good', 'give']]]","[['care', 'NEUTRAL'], ['time', 'POSITIVE']]"
232,"BEST PORK RIBS I HAD! Highly highly recommend this. It was charred to perfection, 10/10! Cod fish was yummy, with nice crispy skin &amp; fresh fish. Seafood paella &amp; grilled octopus leg was not bad as well!",POSITIVE,"best pork ribs i had! highly highly recommend this. it was charred to perfection, 10/10! cod fish was yummy, with nice crispy skin &amp; fresh fish. seafood paella &amp; grilled octopus leg was not bad as well!","[['porkribs', ['best', 'had']], ['ribsi', ['had']], ['recommend', ['highly', 'highly', 'this']], ['perfection', []], ['yummy', ['codfish']], ['crispyskin', ['nice']], ['amp', []], ['fish', ['fresh']], ['seafoodpaella', ['bad']], ['amp', []], ['octopusleg', ['grilled', 'bad']]]","[['porkribs', 'POSITIVE'], ['ribsi', 'NEGATIVE'], ['recommend', 'POSITIVE'], ['yummy', 'NEGATIVE'], ['crispyskin', 'POSITIVE'], ['fish', 'NEGATIVE'], ['seafoodpaella', 'NEGATIVE'], ['octopusleg', 'NEGATIVE']]"
233,"Evelyn was an amazing server, she would check on us at regular intervals and if we needed anything. It’s a joy to be served by her. …",POSITIVE,"evelyn was an amazing server, she would check on us at regular intervals and if we needed anything. it s a joy to be served by her.  ","[['evelyn', ['server']], ['server', ['evelyn', 'amazing']], ['anything', ['needed']], ['joy', ['it']]]","[['evelyn', 'NEUTRAL'], ['server', 'POSITIVE'], ['anything', 'NEGATIVE'], ['joy', 'NEUTRAL']]"
234,Good,POSITIVE,good,[],[]
235,"Enjoy a lavish free flow of Italian-American a-la-carte buffet spread with a mesmerizing skyline view, 57 storeys high @lavosingapore LAVO’s Sunday Champagne Brunch. …",POSITIVE,"enjoy a lavish free flow of italian-american a-la-carte buffet spread with a mesmerizing skyline view, 57 storeys high @lavosingapore lavo s sunday champagne brunch.  ",[],[]
236,Lovely deco and creative menu,POSITIVE,lovely deco and creative menu,"[['menu', ['creative']]]","[['menu', 'POSITIVE']]"
237,The signature dish Peking Duck is a must have on your order list or your visit here will not feel complete.. Dim Sum has a savoury taste that wants you to ask for more.,POSITIVE,the signature dish peking duck is a must have on your order list or your visit here will not feel complete.. dim sum has a savoury taste that wants you to ask for more.,"[['signature', ['dish']], ['duck', ['peking', 'have']], ['visit', ['here']], ['dimsum', ['has']], ['savourytaste', ['has', 'wants']], ['ask', ['wants']]]","[['signature', 'POSITIVE'], ['duck', 'NEGATIVE'], ['visit', 'NEUTRAL'], ['dimsum', 'NEGATIVE'], ['savourytaste', 'NEGATIVE'], ['ask', 'NEUTRAL']]"
238,Everything was perfect. The food and the service specifically restaurant staff (Mr Abhishele’s service ) was great.,POSITIVE,everything was perfect. the food and the service specifically restaurant staff (mr abhishele s service ) was great.,"[['everything', ['perfect']], ['perfect', ['everything']], ['food', ['great']], ['service', []], ['staff', ['specifically', 'restaurant']], ['service', []]]","[['everything', 'POSITIVE'], ['perfect', 'NEUTRAL'], ['food', 'POSITIVE'], ['staff', 'POSITIVE']]"
239,A very busy restaurant! We like the dosai very much!,POSITIVE,a very busy restaurant! we like the dosai very much!,"[['restaurant', ['busy']]]","[['restaurant', 'POSITIVE']]"
240,Great,POSITIVE,great,[],[]
241,"Love the Nasi ulam (salad rice), durian creme brulee, and Sambal sotong. The otah fish is bouncy as well.",POSITIVE,"love the nasi ulam (salad rice), durian creme brulee, and sambal sotong. the otah fish is bouncy as well.","[['nasi', ['ulam']], ['ulam', ['nasi', 'love']], ['rice', ['salad']], ['cremebrulee', ['durian']], ['sotong', ['sambal']], ['fish', ['otah', 'bouncy']], ['bouncy', ['fish', 'as']]]","[['nasi', 'NEUTRAL'], ['ulam', 'POSITIVE'], ['rice', 'NEUTRAL'], ['cremebrulee', 'NEUTRAL'], ['sotong', 'NEUTRAL'], ['fish', 'POSITIVE'], ['bouncy', 'NEGATIVE']]"
242,"Without any hesitation, I would call this the mecca of fine dining in Singapore 09 . Their vegetarian option is amazing starting with the mushroom tea, the very delicately cooked egg and right through to their exquisite desserts. Japanese …",POSITIVE,"without any hesitation, i would call this the mecca of fine dining in singapore 09 . their vegetarian option is amazing starting with the mushroom tea, the very delicately cooked egg and right through to their exquisite desserts. japanese  ",[],[]
243,Very good dim sum.,POSITIVE,very good dim sum.,"[['dimsum', ['good']]]","[['dimsum', 'POSITIVE']]"
244,Great place for a date!,POSITIVE,great place for a date!,"[['place', ['great']], ['date', []]]","[['place', 'POSITIVE']]"
